Measure Names,State/Jurisdiction,Variant,Measure Values,Total Sequences 
Share,Alabama,AY.1 (Delta),0,846
Share Low,Alabama,AY.1 (Delta),0,846
Share High,Alabama,AY.1 (Delta),0,846
Share,Alabama,AY.2 (Delta),0,846
Share Low,Alabama,AY.2 (Delta),0,846
Share High,Alabama,AY.2 (Delta),0,846
Share,Alabama,B.1.1.7 (Alpha),0,846
Share Low,Alabama,B.1.1.7 (Alpha),0,846
Share High,Alabama,B.1.1.7 (Alpha),0,846
Share,Alabama,B.1.1.529 (Omicron),0.945188761,846
Share Low,Alabama,B.1.1.529 (Omicron),0.927643001,846
Share High,Alabama,B.1.1.529 (Omicron),0.959541917,846
Share,Alabama,B.1.351,0,846
Share Low,Alabama,B.1.351,0,846
Share High,Alabama,B.1.351,0,846
Share,Alabama,B.1.427/429,0,846
Share Low,Alabama,B.1.427/429,0,846
Share High,Alabama,B.1.427/429,0,846
Share,Alabama,B.1.525,0,846
Share Low,Alabama,B.1.525,0,846
Share High,Alabama,B.1.525,0,846
Share,Alabama,B.1.526 (Iota),0,846
Share Low,Alabama,B.1.526 (Iota),0,846
Share High,Alabama,B.1.526 (Iota),0,846
Share,Alabama,B.1.617.1,0,846
Share Low,Alabama,B.1.617.1,0,846
Share High,Alabama,B.1.617.1,0,846
Share,Alabama,B.1.617.2 (Delta),0.045128062,846
Share Low,Alabama,B.1.617.2 (Delta),0.032050919,846
Share High,Alabama,B.1.617.2 (Delta),0.061542377,846
Share,Alabama,B.1.617.3,0,846
Share Low,Alabama,B.1.617.3,0,846
Share High,Alabama,B.1.617.3,0,846
Share,Alabama,B.1.621 (Mu),0,846
Share Low,Alabama,B.1.621 (Mu),0,846
Share High,Alabama,B.1.621 (Mu),0,846
Share,Alabama,BA.2 (Omicron),0.001729087,846
Share Low,Alabama,BA.2 (Omicron),0.000118000,846
Share High,Alabama,BA.2 (Omicron),0.007489922,846
Share,Alabama,Other,0.007954095,846
Share Low,Alabama,Other,0.003132870,846
Share High,Alabama,Other,0.016542671,846
Share,Alabama,P.1,0,846
Share Low,Alabama,P.1,0,846
Share High,Alabama,P.1,0,846
Share,Alabama,P.2,0,846
Share Low,Alabama,P.2,0,846
Share High,Alabama,P.2,0,846
Share,Alaska,AY.1 (Delta),0,477
Share Low,Alaska,AY.1 (Delta),0,477
Share High,Alaska,AY.1 (Delta),0,477
Share,Alaska,AY.2 (Delta),0,477
Share Low,Alaska,AY.2 (Delta),0,477
Share High,Alaska,AY.2 (Delta),0,477
Share,Alaska,B.1.1.7 (Alpha),0,477
Share Low,Alaska,B.1.1.7 (Alpha),0,477
Share High,Alaska,B.1.1.7 (Alpha),0,477
Share,Alaska,B.1.1.529 (Omicron),0.898080885,477
Share Low,Alaska,B.1.1.529 (Omicron),0.826957762,477
Share High,Alaska,B.1.1.529 (Omicron),0.947069526,477
Share,Alaska,B.1.351,0,477
Share Low,Alaska,B.1.351,0,477
Share High,Alaska,B.1.351,0,477
Share,Alaska,B.1.427/429,0,477
Share Low,Alaska,B.1.427/429,0,477
Share High,Alaska,B.1.427/429,0,477
Share,Alaska,B.1.525,0,477
Share Low,Alaska,B.1.525,0,477
Share High,Alaska,B.1.525,0,477
Share,Alaska,B.1.526 (Iota),0,477
Share Low,Alaska,B.1.526 (Iota),0,477
Share High,Alaska,B.1.526 (Iota),0,477
Share,Alaska,B.1.617.1,0,477
Share Low,Alaska,B.1.617.1,0,477
Share High,Alaska,B.1.617.1,0,477
Share,Alaska,B.1.617.2 (Delta),0.092161305,477
Share Low,Alaska,B.1.617.2 (Delta),0.034231823,477
Share High,Alaska,B.1.617.2 (Delta),0.190892965,477
Share,Alaska,B.1.617.3,0,477
Share Low,Alaska,B.1.617.3,0,477
Share High,Alaska,B.1.617.3,0,477
Share,Alaska,B.1.621 (Mu),0,477
Share Low,Alaska,B.1.621 (Mu),0,477
Share High,Alaska,B.1.621 (Mu),0,477
Share,Alaska,BA.2 (Omicron),0.003907902,477
Share Low,Alaska,BA.2 (Omicron),2.007968578e-05,477
Share High,Alaska,BA.2 (Omicron),0.028789539,477
Share,Alaska,Other,0.005849932,477
Share Low,Alaska,Other,1.280833112e-05,477
Share High,Alaska,Other,0.048307538,477
Share,Alaska,P.1,0,477
Share Low,Alaska,P.1,0,477
Share High,Alaska,P.1,0,477
Share,Alaska,P.2,0,477
Share Low,Alaska,P.2,0,477
Share High,Alaska,P.2,0,477
Share,American Samoa,AY.1 (Delta),,0
Share Low,American Samoa,AY.1 (Delta),0,0
Share High,American Samoa,AY.1 (Delta),0,0
Share,American Samoa,AY.2 (Delta),,0
Share Low,American Samoa,AY.2 (Delta),0,0
Share High,American Samoa,AY.2 (Delta),0,0
Share,American Samoa,B.1.1.7 (Alpha),,0
Share Low,American Samoa,B.1.1.7 (Alpha),0,0
Share High,American Samoa,B.1.1.7 (Alpha),0,0
Share,American Samoa,B.1.1.529 (Omicron),,0
Share Low,American Samoa,B.1.1.529 (Omicron),0,0
Share High,American Samoa,B.1.1.529 (Omicron),0,0
Share,American Samoa,B.1.351,,0
Share Low,American Samoa,B.1.351,0,0
Share High,American Samoa,B.1.351,0,0
Share,American Samoa,B.1.427/429,,0
Share Low,American Samoa,B.1.427/429,0,0
Share High,American Samoa,B.1.427/429,0,0
Share,American Samoa,B.1.525,,0
Share Low,American Samoa,B.1.525,0,0
Share High,American Samoa,B.1.525,0,0
Share,American Samoa,B.1.526 (Iota),,0
Share Low,American Samoa,B.1.526 (Iota),0,0
Share High,American Samoa,B.1.526 (Iota),0,0
Share,American Samoa,B.1.617.1,,0
Share Low,American Samoa,B.1.617.1,0,0
Share High,American Samoa,B.1.617.1,0,0
Share,American Samoa,B.1.617.2 (Delta),,0
Share Low,American Samoa,B.1.617.2 (Delta),0,0
Share High,American Samoa,B.1.617.2 (Delta),0,0
Share,American Samoa,B.1.617.3,,0
Share Low,American Samoa,B.1.617.3,0,0
Share High,American Samoa,B.1.617.3,0,0
Share,American Samoa,B.1.621 (Mu),,0
Share Low,American Samoa,B.1.621 (Mu),0,0
Share High,American Samoa,B.1.621 (Mu),0,0
Share,American Samoa,BA.2 (Omicron),,0
Share Low,American Samoa,BA.2 (Omicron),0,0
Share High,American Samoa,BA.2 (Omicron),0,0
Share,American Samoa,Other,,0
Share Low,American Samoa,Other,0,0
Share High,American Samoa,Other,0,0
Share,American Samoa,P.1,,0
Share Low,American Samoa,P.1,0,0
Share High,American Samoa,P.1,0,0
Share,American Samoa,P.2,,0
Share Low,American Samoa,P.2,0,0
Share High,American Samoa,P.2,0,0
Share,Arizona,AY.1 (Delta),0,"2,301"
Share Low,Arizona,AY.1 (Delta),0,"2,301"
Share High,Arizona,AY.1 (Delta),0,"2,301"
Share,Arizona,AY.2 (Delta),0,"2,301"
Share Low,Arizona,AY.2 (Delta),0,"2,301"
Share High,Arizona,AY.2 (Delta),0,"2,301"
Share,Arizona,B.1.1.7 (Alpha),0,"2,301"
Share Low,Arizona,B.1.1.7 (Alpha),0,"2,301"
Share High,Arizona,B.1.1.7 (Alpha),0,"2,301"
Share,Arizona,B.1.1.529 (Omicron),0.865197241,"2,301"
Share Low,Arizona,B.1.1.529 (Omicron),0.809837282,"2,301"
Share High,Arizona,B.1.1.529 (Omicron),0.909326851,"2,301"
Share,Arizona,B.1.351,0,"2,301"
Share Low,Arizona,B.1.351,0,"2,301"
Share High,Arizona,B.1.351,0,"2,301"
Share,Arizona,B.1.427/429,0,"2,301"
Share Low,Arizona,B.1.427/429,0,"2,301"
Share High,Arizona,B.1.427/429,0,"2,301"
Share,Arizona,B.1.525,0,"2,301"
Share Low,Arizona,B.1.525,0,"2,301"
Share High,Arizona,B.1.525,0,"2,301"
Share,Arizona,B.1.526 (Iota),0,"2,301"
Share Low,Arizona,B.1.526 (Iota),0,"2,301"
Share High,Arizona,B.1.526 (Iota),0,"2,301"
Share,Arizona,B.1.617.1,0,"2,301"
Share Low,Arizona,B.1.617.1,0,"2,301"
Share High,Arizona,B.1.617.1,0,"2,301"
Share,Arizona,B.1.617.2 (Delta),0.131553471,"2,301"
Share Low,Arizona,B.1.617.2 (Delta),0.090325907,"2,301"
Share High,Arizona,B.1.617.2 (Delta),0.182790071,"2,301"
Share,Arizona,B.1.617.3,0,"2,301"
Share Low,Arizona,B.1.617.3,0,"2,301"
Share High,Arizona,B.1.617.3,0,"2,301"
Share,Arizona,B.1.621 (Mu),0,"2,301"
Share Low,Arizona,B.1.621 (Mu),0,"2,301"
Share High,Arizona,B.1.621 (Mu),0,"2,301"
Share,Arizona,BA.2 (Omicron),0.000605217,"2,301"
Share Low,Arizona,BA.2 (Omicron),3.139446108e-06,"2,301"
Share High,Arizona,BA.2 (Omicron),0.004500323,"2,301"
Share,Arizona,Other,0.002644047,"2,301"
Share Low,Arizona,Other,0.000208779,"2,301"
Share High,Arizona,Other,0.010952964,"2,301"
Share,Arizona,P.1,0,"2,301"
Share Low,Arizona,P.1,0,"2,301"
Share High,Arizona,P.1,0,"2,301"
Share,Arizona,P.2,0,"2,301"
Share Low,Arizona,P.2,0,"2,301"
Share High,Arizona,P.2,0,"2,301"
Share,Arkansas,AY.1 (Delta),0,759
Share Low,Arkansas,AY.1 (Delta),0,759
Share High,Arkansas,AY.1 (Delta),0,759
Share,Arkansas,AY.2 (Delta),0,759
Share Low,Arkansas,AY.2 (Delta),0,759
Share High,Arkansas,AY.2 (Delta),0,759
Share,Arkansas,B.1.1.7 (Alpha),0,759
Share Low,Arkansas,B.1.1.7 (Alpha),0,759
Share High,Arkansas,B.1.1.7 (Alpha),0,759
Share,Arkansas,B.1.1.529 (Omicron),0.903946519,759
Share Low,Arkansas,B.1.1.529 (Omicron),0.836712718,759
Share High,Arkansas,B.1.1.529 (Omicron),0.950095475,759
Share,Arkansas,B.1.351,0,759
Share Low,Arkansas,B.1.351,0,759
Share High,Arkansas,B.1.351,0,759
Share,Arkansas,B.1.427/429,0,759
Share Low,Arkansas,B.1.427/429,0,759
Share High,Arkansas,B.1.427/429,0,759
Share,Arkansas,B.1.525,0,759
Share Low,Arkansas,B.1.525,0,759
Share High,Arkansas,B.1.525,0,759
Share,Arkansas,B.1.526 (Iota),0,759
Share Low,Arkansas,B.1.526 (Iota),0,759
Share High,Arkansas,B.1.526 (Iota),0,759
Share,Arkansas,B.1.617.1,0,759
Share Low,Arkansas,B.1.617.1,0,759
Share High,Arkansas,B.1.617.1,0,759
Share,Arkansas,B.1.617.2 (Delta),0.092014581,759
Share Low,Arkansas,B.1.617.2 (Delta),0.050100621,759
Share High,Arkansas,B.1.617.2 (Delta),0.151815295,759
Share,Arkansas,B.1.617.3,0,759
Share Low,Arkansas,B.1.617.3,0,759
Share High,Arkansas,B.1.617.3,0,759
Share,Arkansas,B.1.621 (Mu),0,759
Share Low,Arkansas,B.1.621 (Mu),0,759
Share High,Arkansas,B.1.621 (Mu),0,759
Share,Arkansas,BA.2 (Omicron),0.001294057,759
Share Low,Arkansas,BA.2 (Omicron),2.956165190e-06,759
Share High,Arkansas,BA.2 (Omicron),0.010808735,759
Share,Arkansas,Other,0.002744833,759
Share Low,Arkansas,Other,6.214744189e-06,759
Share High,Arkansas,Other,0.022829659,759
Share,Arkansas,P.1,0,759
Share Low,Arkansas,P.1,0,759
Share High,Arkansas,P.1,0,759
Share,Arkansas,P.2,0,759
Share Low,Arkansas,P.2,0,759
Share High,Arkansas,P.2,0,759
Share,California,AY.1 (Delta),1.133497608e-05,"31,450"
Share Low,California,AY.1 (Delta),7.363247234e-10,"31,450"
Share High,California,AY.1 (Delta),0.000139984,"31,450"
Share,California,AY.2 (Delta),0,"31,450"
Share Low,California,AY.2 (Delta),0,"31,450"
Share High,California,AY.2 (Delta),0,"31,450"
Share,California,B.1.1.7 (Alpha),0,"31,450"
Share Low,California,B.1.1.7 (Alpha),0,"31,450"
Share High,California,B.1.1.7 (Alpha),0,"31,450"
Share,California,B.1.1.529 (Omicron),0.936515927,"31,450"
Share Low,California,B.1.1.529 (Omicron),0.918276787,"31,450"
Share High,California,B.1.1.529 (Omicron),0.951742709,"31,450"
Share,California,B.1.351,0,"31,450"
Share Low,California,B.1.351,0,"31,450"
Share High,California,B.1.351,0,"31,450"
Share,California,B.1.427/429,0,"31,450"
Share Low,California,B.1.427/429,0,"31,450"
Share High,California,B.1.427/429,0,"31,450"
Share,California,B.1.525,0,"31,450"
Share Low,California,B.1.525,0,"31,450"
Share High,California,B.1.525,0,"31,450"
Share,California,B.1.526 (Iota),0,"31,450"
Share Low,California,B.1.526 (Iota),0,"31,450"
Share High,California,B.1.526 (Iota),0,"31,450"
Share,California,B.1.617.1,0,"31,450"
Share Low,California,B.1.617.1,0,"31,450"
Share High,California,B.1.617.1,0,"31,450"
Share,California,B.1.617.2 (Delta),0.060839083,"31,450"
Share Low,California,B.1.617.2 (Delta),0.047622476,"31,450"
Share High,California,B.1.617.2 (Delta),0.076393776,"31,450"
Share,California,B.1.617.3,0,"31,450"
Share Low,California,B.1.617.3,0,"31,450"
Share High,California,B.1.617.3,0,"31,450"
Share,California,B.1.621 (Mu),0,"31,450"
Share Low,California,B.1.621 (Mu),0,"31,450"
Share High,California,B.1.621 (Mu),0,"31,450"
Share,California,BA.2 (Omicron),0.000949032,"31,450"
Share Low,California,BA.2 (Omicron),0.000639688,"31,450"
Share High,California,BA.2 (Omicron),0.001355746,"31,450"
Share,California,Other,0.001684643,"31,450"
Share Low,California,Other,6.195555761e-05,"31,450"
Share High,California,Other,0.008587063,"31,450"
Share,California,P.1,0,"31,450"
Share Low,California,P.1,0,"31,450"
Share High,California,P.1,0,"31,450"
Share,California,P.2,0,"31,450"
Share Low,California,P.2,0,"31,450"
Share High,California,P.2,0,"31,450"
Share,Colorado,AY.1 (Delta),0,"3,054"
Share Low,Colorado,AY.1 (Delta),0,"3,054"
Share High,Colorado,AY.1 (Delta),0,"3,054"
Share,Colorado,AY.2 (Delta),0,"3,054"
Share Low,Colorado,AY.2 (Delta),0,"3,054"
Share High,Colorado,AY.2 (Delta),0,"3,054"
Share,Colorado,B.1.1.7 (Alpha),0,"3,054"
Share Low,Colorado,B.1.1.7 (Alpha),0,"3,054"
Share High,Colorado,B.1.1.7 (Alpha),0,"3,054"
Share,Colorado,B.1.1.529 (Omicron),0.940599740,"3,054"
Share Low,Colorado,B.1.1.529 (Omicron),0.902187943,"3,054"
Share High,Colorado,B.1.1.529 (Omicron),0.967223644,"3,054"
Share,Colorado,B.1.351,0,"3,054"
Share Low,Colorado,B.1.351,0,"3,054"
Share High,Colorado,B.1.351,0,"3,054"
Share,Colorado,B.1.427/429,0,"3,054"
Share Low,Colorado,B.1.427/429,0,"3,054"
Share High,Colorado,B.1.427/429,0,"3,054"
Share,Colorado,B.1.525,0,"3,054"
Share Low,Colorado,B.1.525,0,"3,054"
Share High,Colorado,B.1.525,0,"3,054"
Share,Colorado,B.1.526 (Iota),0,"3,054"
Share Low,Colorado,B.1.526 (Iota),0,"3,054"
Share High,Colorado,B.1.526 (Iota),0,"3,054"
Share,Colorado,B.1.617.1,0,"3,054"
Share Low,Colorado,B.1.617.1,0,"3,054"
Share High,Colorado,B.1.617.1,0,"3,054"
Share,Colorado,B.1.617.2 (Delta),0.054745313,"3,054"
Share Low,Colorado,B.1.617.2 (Delta),0.029726008,"3,054"
Share High,Colorado,B.1.617.2 (Delta),0.091247499,"3,054"
Share,Colorado,B.1.617.3,0,"3,054"
Share Low,Colorado,B.1.617.3,0,"3,054"
Share High,Colorado,B.1.617.3,0,"3,054"
Share,Colorado,B.1.621 (Mu),0,"3,054"
Share Low,Colorado,B.1.621 (Mu),0,"3,054"
Share High,Colorado,B.1.621 (Mu),0,"3,054"
Share,Colorado,BA.2 (Omicron),0,"3,054"
Share Low,Colorado,BA.2 (Omicron),0,"3,054"
Share High,Colorado,BA.2 (Omicron),0,"3,054"
Share,Colorado,Other,0.004654940,"3,054"
Share Low,Colorado,Other,0.000116366,"3,054"
Share High,Colorado,Other,0.025731102,"3,054"
Share,Colorado,P.1,0,"3,054"
Share Low,Colorado,P.1,0,"3,054"
