Measure Names,State,Measure Values
B.1.1.7,Alabama,0.0154
B.1.351,Alabama,
B.1.617.2,Alabama,0.9507
P.1,Alabama,0.0046
AY.2,Alabama,0.0012
Other,Alabama,0.0274
Total available sequences,Alabama,"2,595"
B.1.1.7,Arizona,0.007
B.1.351,Arizona,
B.1.617.2,Arizona,0.9412
P.1,Arizona,0.0109
AY.2,Arizona,0.0026
Other,Arizona,0.0377
Total available sequences,Arizona,"1,565"
B.1.1.7,Arkansas,0.0054
B.1.351,Arkansas,
B.1.617.2,Arkansas,0.9678
P.1,Arkansas,0.0013
AY.2,Arkansas,0.0027
Other,Arkansas,0.0228
Total available sequences,Arkansas,745
B.1.1.7,California,0.0069
B.1.351,California,0
B.1.617.2,California,0.9498
P.1,California,0.0058
AY.2,California,0.0093
Other,California,0.0223
Total available sequences,California,"34,991"
B.1.1.7,Colorado,0.0109
B.1.351,Colorado,0.0006
B.1.617.2,Colorado,0.9639
P.1,Colorado,0.0021
AY.2,Colorado,0.0043
Other,Colorado,0.0173
Total available sequences,Colorado,"3,294"
B.1.1.7,Connecticut,0.0109
B.1.351,Connecticut,
B.1.617.2,Connecticut,0.9625
P.1,Connecticut,0.0063
AY.2,Connecticut,0.0016
Other,Connecticut,0.0188
Total available sequences,Connecticut,640
B.1.1.7,District of Columbia,0.0026
B.1.351,District of Columbia,
B.1.617.2,District of Columbia,0.9895
P.1,District of Columbia,
AY.2,District of Columbia,
Other,District of Columbia,0.0079
Total available sequences,District of Columbia,382
B.1.1.7,Florida,0.0127
B.1.351,Florida,0.0001
B.1.617.2,Florida,0.9256
P.1,Florida,0.0105
AY.2,Florida,0.0015
Other,Florida,0.0497
Total available sequences,Florida,"19,294"
B.1.1.7,Georgia,0.0087
B.1.351,Georgia,
B.1.617.2,Georgia,0.9578
P.1,Georgia,0.0043
AY.2,Georgia,0.0025
Other,Georgia,0.0266
Total available sequences,Georgia,"6,084"
B.1.1.7,Illinois,0.0079
B.1.351,Illinois,
B.1.617.2,Illinois,0.9554
P.1,Illinois,0.0026
AY.2,Illinois,0.0071
Other,Illinois,0.026
