State,update_date,variable,value
NC,2021-02-28,B.1.1.7 Variant,40
NC,2021-03-02,B.1.1.7 Variant,40
NC,2021-03-04,B.1.1.7 Variant,40
NC,2021-03-07,B.1.1.7 Variant,40
NC,2021-03-16,B.1.1.7 Variant,40
NC,2021-03-21,B.1.1.7 Variant,77
NC,2021-03-25,B.1.1.7 Variant,160
NC,2021-03-25,B.1.1.7 Variant,160
NC,2021-03-25,B.1.1.7 Variant,160
NC,2021-02-28,P.1 Variant,0
NC,2021-03-02,P.1 Variant,0
NC,2021-03-04,P.1 Variant,0
NC,2021-03-07,P.1 Variant,0
NC,2021-03-16,P.1 Variant,0
NC,2021-03-21,P.1 Variant,0
NC,2021-03-25,P.1 Variant,0
NC,2021-03-25,P.1 Variant,0
NC,2021-03-25,P.1 Variant,0
NC,2021-02-28,B.1.351 Variant,3
NC,2021-03-02,B.1.351 Variant,3
NC,2021-03-04,B.1.351 Variant,3
NC,2021-03-07,B.1.351 Variant,3
NC,2021-03-16,B.1.351 Variant,3
NC,2021-03-21,B.1.351 Variant,8
NC,2021-03-25,B.1.351 Variant,26
NC,2021-03-25,B.1.351 Variant,26
NC,2021-03-25,B.1.351 Variant,26
