UpdateDTS,State,Measure Names,Measure Values,samples
2021-04-14T14:36:00Z,Arizona,B.1.1.7,0.1411,411
2021-04-14T14:36:00Z,Arizona,B.1.351,,411
2021-04-14T14:36:00Z,Arizona,B.1.427/B.1.429,0.3601,411
2021-04-14T14:36:00Z,Arizona,P.1,0.0073,411
2021-04-14T14:36:00Z,Arizona,Other lineages,0.4915,411
2021-04-14T14:36:00Z,California,B.1.1.7,0.1594,6919
2021-04-14T14:36:00Z,California,B.1.351,0.0025,6919
2021-04-14T14:36:00Z,California,B.1.427/B.1.429,0.5384,6919
2021-04-14T14:36:00Z,California,P.1,0.0156,6919
2021-04-14T14:36:00Z,California,Other lineages,0.2841,6919
2021-04-14T14:36:00Z,Colorado,B.1.1.7,0.2907,915
2021-04-14T14:36:00Z,Colorado,B.1.351,0.0011,915
2021-04-14T14:36:00Z,Colorado,B.1.427/B.1.429,0.2809,915
2021-04-14T14:36:00Z,Colorado,P.1,0.0077,915
2021-04-14T14:36:00Z,Colorado,Other lineages,0.4197,915
2021-04-14T14:36:00Z,Connecticut,B.1.1.7,0.2919,651
2021-04-14T14:36:00Z,Connecticut,B.1.351,0.0077,651
2021-04-14T14:36:00Z,Connecticut,B.1.427/B.1.429,0.0753,651
2021-04-14T14:36:00Z,Connecticut,P.1,0.0077,651
2021-04-14T14:36:00Z,Connecticut,Other lineages,0.6175,651
2021-04-14T14:36:00Z,Florida,B.1.1.7,0.5222,6093
2021-04-14T14:36:00Z,Florida,B.1.351,0.0031,6093
2021-04-14T14:36:00Z,Florida,B.1.427/B.1.429,0.0748,6093
2021-04-14T14:36:00Z,Florida,P.1,0.0236,6093
2021-04-14T14:36:00Z,Florida,Other lineages,0.3762,6093
2021-04-14T14:36:00Z,Georgia,B.1.1.7,0.4555,1642
2021-04-14T14:36:00Z,Georgia,B.1.351,0.0201,1642
2021-04-14T14:36:00Z,Georgia,B.1.427/B.1.429,0.0445,1642
2021-04-14T14:36:00Z,Georgia,P.1,0.0018,1642
2021-04-14T14:36:00Z,Georgia,Other lineages,0.4781,1642
2021-04-14T14:36:00Z,Illinois,B.1.1.7,0.3013,1477
2021-04-14T14:36:00Z,Illinois,B.1.351,0.0054,1477
2021-04-14T14:36:00Z,Illinois,B.1.427/B.1.429,0.153,1477
2021-04-14T14:36:00Z,Illinois,P.1,0.0785,1477
2021-04-14T14:36:00Z,Illinois,Other lineages,0.4617,1477
2021-04-14T14:36:00Z,Indiana,B.1.1.7,0.2379,912
2021-04-14T14:36:00Z,Indiana,B.1.351,0.0044,912
2021-04-14T14:36:00Z,Indiana,B.1.427/B.1.429,0.0921,912
2021-04-14T14:36:00Z,Indiana,P.1,0.0055,912
2021-04-14T14:36:00Z,Indiana,Other lineages,0.6601,912
2021-04-14T14:36:00Z,Kentucky,B.1.1.7,0.1871,326
2021-04-14T14:36:00Z,Kentucky,B.1.351,,326
2021-04-14T14:36:00Z,Kentucky,B.1.427/B.1.429,0.046,326
2021-04-14T14:36:00Z,Kentucky,P.1,0.0031,326
2021-04-14T14:36:00Z,Kentucky,Other lineages,0.7638,326
2021-04-14T14:36:00Z,Louisiana,B.1.1.7,0.3441,311
2021-04-14T14:36:00Z,Louisiana,B.1.351,,311
2021-04-14T14:36:00Z,Louisiana,B.1.427/B.1.429,0.0836,311
2021-04-14T14:36:00Z,Louisiana,P.1,,311
2021-04-14T14:36:00Z,Louisiana,Other lineages,0.5723,311
